項番	大項目	中項目	小項目	小項目説明	重複項目	"メトリクス
C.2.2.1			運用負荷削減	"システム運用に関する作業負荷を削減するための設計に関する項目。
"		"システム運用作業自動化の範囲
"	システム運用作業は全て手動で実施する	一部のシステム運用作業を自動で実行する	全てのシステム運用作業を自動で実行する				○	"【メトリクス】
システム運用作業とは、システム運用に伴うシステム基盤を維持管理するための作業を指し、点検作業やパッチ適用等のアップデート作業、領域拡張、デフラグ、ログローテート等を想定している。障害対応や復旧作業などは含まない。

【運用コストへの影響】
システム基盤のシステム運用作業を自動化するためには、特別な運用管理ツールを導入したり、さまざまな作り込みを実施する必要がある。そのため導入コストは増大するが、ユーザが実施すべきシステム運用作業が簡略化あるいはなくなると考えられるので、運用コストは減少する。
"
C.4.1.1		運用環境	開発環境の設置	"ユーザがシステムに対する開発作業を実施する目的で導入する環境についての項目。
"		開発環境の設置有無	"システムの開発環境を設置しない
"	"運用環境の一部に限定した開発環境を設置する
"	"運用環境と同一の開発環境を設置する
"					"【メトリクス】
開発環境とは、本番環境とは別に開発専用に使用することのできる機材一式のことを指す。本番移行後に本番環境として利用される開発フェーズの環境は、本項目に含めない。

【レベル】
開発フェーズでは開発環境として使用していたが、本番移行後は本番環境となる環境については、レベル0のシステムの開発環境を設置しないを選択する。
"
C.4.2.1			テスト環境の設置	"ユーザがシステムの動作を試験する目的で導入する環境についての項目。
"		テスト環境の設置有無	システムの試験環境を設置しない	システムの開発環境と併用する	専用のテスト環境を設置する					"【メトリクス】
テスト環境とは、本番環境とは別に試験専用に使用することのできる機材一式のことを指す。本番移行後に本番環境として利用される試験フェーズの環境は、本項目に含めない。

【レベル】
試験フェーズでは試験環境として使用していたが、本番移行後は本番環境となる環境については、レベル0のシステムの試験環境を設置しないを選択する。
"
C.4.3.1			手順書準備レベル	"運用のための手順書の準備のレベル。
"		手順書準備レベル	各製品標準の手順書を利用する	システムの通常運用の手順書を提供する	システムの通常運用とシステム運用の手順書を提供する	ユーザのシステム運用ルールに基づくカスタマイズされた手順書を提供する			○	"【レベル】
通常運用の手順書には、システム基盤に対する通常時の運用（起動・停止等）にかかわる操作や機能についての説明が記載される。システム運用の手順書には、システム基盤に対するシステム運用作業（部品交換やデータ復旧手順等）にかかわる操作や機能についての説明が記載される。
障害発生時の一次対応に関する記述（系切り替え作業やログ収集作業等）は通常運用手順書に含まれる。バックアップからの復旧作業については保守手順書に含まれるものとする。

【運用コストへの影響】
ユーザの運用に合わせたカスタマイズされた手順書は、作成するためにコストがかかるため導入コストが増大するが、ユーザが運用時に手順を調査する負担が減少するため運用コストは減少する。
"
C.4.4.1			リモートオペレーション	"システムの設置環境とは離れた環境からのネットワークを介した監視や操作の可否を定義する項目。
"		"リモート監視地点
"	"リモート監視を行わない
"	"構内LANを介してリモート監視を行う
"	"遠隔地でリモート監視を行う
"				○	"【レベル】
監視の内容については、通常運用の運用監視の項目にて確認する必要がある。

【運用コストへの影響】
リモート監視を実装するためには、特別なハードウェア・ソフトウェアを導入する必要があり導入コストが増大する。しかし、運用状況の確認のために管理者がわざわざサーバの設置場所まで移動する必要がなくなるため、運用コストは減少する。
"
C.4.4.2						リモート操作の範囲	リモート操作を行わない	定型処理のみリモート操作を行う	任意のリモート操作を行う				○	"【メトリクス】
リモート監視地点から実施できる操作の範囲を検討する。

【レベル】
定型処理のみリモート操作を実現するためのソフトウェアは安価であったり、任意のリモート操作を認める場合はセキュリティやその他の面での検討項目が増えることを考慮し、定型処理よりも任意のリモート操作を行う方のレベルを高く設定している。

【運用コストへの影響】
リモート操作を実装するためには、特別なハードウェア・ソフトウェアを導入する必要があり導入コストが増大する。しかし、メンテナンス操作のために管理者がわざわざサーバの設置場所まで移動する必要がなくなるため、運用コストは減少する。
"
C.4.5.1			"外部システム接続
"	"システムの運用に影響する外部システムとの接続の有無に関する項目。
"		外部システムとの接続有無	外部システムと接続しない	社内の外部システムと接続する	社外の外部システムと接続する					"【メトリクス】
接続する場合には、そのインターフェースについて確認すること。
"
C.5.1.1		サポート体制	保守契約（ハードウェア）	"保守が必要な対象ハードウェアの範囲。
"		保守契約（ハードウェア）の範囲	保守契約を行わない	ベンダの自社製品（ハードウェア）に対してのみ保守契約を行う	マルチベンダのサポート契約を行う（一部対象外を許容）	"マルチベンダのサポート契約を行う（システムを構成する全製品を対象）
"			○	"【レベル】
ベンダの自社製品（ハードウェア）に対してのみサポート契約とは、システムを構成する製品個別の提供ベンダと、当該製品に対するサポート契約を行うことを意味しており、当該製品に対してのみサポートサービスが提供される契約形態のことである。

マルチベンダのサポート契約とは、システム全体に対するサポートサービスを提供するベンダと契約を行うことを意味しており、複数のベンダの製品から構成されるシステムに対してワンストップのサポート窓口が提供される契約形態のことである。

【運用コストへの影響】
サポート契約を行うと運用コストが増大するように感じられるが、問題が発生した際に必要となる費用が膨大となるため、サポート契約を行ったほうが結果として運用コストは小さくなる場合がある。
"
C.5.2.1			"保守契約（ソフトウェア）
"	"保守が必要な対象ソフトウェアの範囲。
"		保守契約（ソフトウェア）の範囲	保守契約を行わない	ベンダの自社製品（ソフトウェア）に対してのみ保守契約を行う	マルチベンダのサポート契約を行う（一部対象外を許容）	"マルチベンダのサポート契約を行う（システムを構成する全製品を対象）
"			○	"【レベル】
ベンダの自社製品（ソフトウェア）に対してのみサポート契約とは、システムを構成する製品個別の提供ベンダと、当該製品に対するサポート契約を行うことを意味しており、当該製品に対してのみサポートサービスが提供される契約形態のことである。

マルチベンダのサポート契約とは、システム全体に対するサポートサービスを提供するベンダと契約を行うことを意味しており、複数のベンダの製品から構成されるシステムに対してワンストップのサポート窓口が提供される契約形態のことである。

【運用コストへの影響】
サポート契約を行うと運用コストが増大するように感じられるが、問題が発生した際に必要となる費用が膨大となるため、サポート契約を行ったほうが結果として運用コストは小さくなる場合がある。
"
C.5.3.1			ライフサイクル期間	"運用保守の対応期間および、実際にシステムが稼動するライフサイクルの期間。
"		ライフサイクル期間	3年	5年	7年	10年以上				"【メトリクス】
ここでのライフサイクルとは、次回のシステム更改までの期間と規定している。製品の保守可能期間よりも長い期間のライフサイクルとなる場合は、保守延長や保守可能バージョンへのアップ等の対応が必要となる。
"
C.6.1.1		その他の運用管理方針	"内部統制対応
"	"IT運用プロセスの内部統制対応を行うかどうかに関する項目。
"		内部統制対応の実施有無	"内部統制対応について規定しない
"	"既存の社内規定に従って、内部統制対応を実施する
"	"新規に規定を制定し、内部統制対応を実施する
"					"【メトリクス】
ここでは内部統制対応の実施有無について確認する。内部統制対応の具体的な対応方法（オペレーションで実施するか、システムへの機能実装で実現するか等）については、有無の確認後に具体化して確認する。
"
C.6.2.1			サービスデスク	"ユーザの問合せに対して単一の窓口機能を提供するかどうかに関する項目。
"		サービスデスクの設置有無	"サービスデスクの設置について規定しない
"	"既存のサービスデスクを利用する
"	"新規にサービスデスクを設置する
"					"【メトリクス】
ここでは、ユーザとベンダ間におけるサービスデスクの設置の有無について確認する。サービスデスク機能の具体的な実現方法については、有無の確認後に具体化して確認する。
"
D.1.1.1	移行性	移行時期	移行のスケジュール	"移行作業計画から本稼働までのシステム移行期間、システム停止可能日時、並行稼働の有無。（例外発生時の切り戻し時間や事前バックアップの時間等も含むこと。）
"		システム移行期間	"システム移行無し
"	"3ヶ月未満
"	"半年未満
"	"1年未満
"	"2年未満
"	"2年以上
"		"
"
D.1.1.2						"システム停止可能日時

"	"制約無し
（必要な期間の停止が可能）
"	5日以上	5日未満	"1日
（計画停止日を利用）
"	"利用の少ない時間帯（夜間など）
"	"移行のためのシステム停止不可
"		"【メトリクス】
システムによっては、システム停止可能な日や時間帯が連続して確保できない場合がある。（例えば、この日は1日、次の日は夜間のみ、その次の日は計画停止日で1日、などの場合。）
その場合には、システム停止可能日とその時間帯を、それぞれ確認すること。

【レベル】
レベル0はシステムの制約によらず、移行に必要な期間のシステム停止が可能なことを示す。レベル1以上は、システム停止に関わる（業務などの）制約が存在する上での、システム停止可能日時を示す。レベルが高くなるほど、移行によるシステム停止可能な日や時間帯など、移行計画に影響範囲が大きい制約が存在することを示している。

"
D.1.1.3						並行稼働の有無	無し	有り						"【レベル1】
並行稼働有りの場合には、その期間、場所等を規定すること。関係項目にF.4.2.3、F.4.4.3がある。
"
D.2.1.1		移行方式	システム展開方式	"システムの移行および新規展開時に多段階による展開方式をどの程度採用するかの程度。
"		"拠点展開ステップ数
"	"単一拠点のため
規定無し

"	一斉展開	5段階未満	10段階未満	20段階未満	20段階以上		"【レベル】
拠点展開時のリスクによっては難易度が逆転し、一斉展開の難易度が高くなる場合もある。対象システムについて、拠点毎に展開時のリスクを考慮して拠点展開ステップ数を判断すること。"
D.2.1.2						"業務展開ステップ数


"	"単一業務のため
規定無し"	"全業務一斉切り替え
"	4段階未満	6段階未満	10段階未満	10段階以上		"【レベル】
業務展開時のリスクによっては難易度が逆転し、全業務一斉切り替えの難易度が高くなる場合もある。対象システムについて、業務毎に展開時のリスクを考慮して業務展開ステップ数を判断すること。
"
D.3.1.1		移行対象（機器）	"移行設備
"	"移行前のシステムで使用していた設備において、新システムで新たな設備に入れ替え対象となる移行対象設備の内容。
"		"設備・機器の移行内容
"	移行対象無し	移行対象設備・機器のハードウェアを入れ替える	移行対象設備・機器のハードウェア、OS、ミドルウェアを入れ替える	移行対象設備・機器のシステム全部を入れ替える	"移行対象設備・機器のシステム全部を入れ替えて、さらに統合化する
"			"【レベル】
移行対象設備・機器が複数あり、移行内容が異なる場合には、それぞれ合意すること。
"
D.4.1.1		移行対象（データ）	移行データ量	"旧システム上で移行の必要がある業務データの量（プログラムを含む）。
"		"移行データ量
"	移行対象無し	1TB未満	1PB未満	1PB以上				
D.4.1.2-NTTD改		移行タイプ	データ移行タイプ	新システムにデータを移行するためのデータ移行の種類。		データ移行タイプ	移行対象無し	現行から移行できかつ形式が同一	現行から移行できるが形式が異なる	現行から移行できるがデータ加工（集計や名寄せ処理等）が伴う	現行から移行できずデータ入力を伴う			"【メトリクス】
データ移行タイプは、ツールで簡易に移行ができるデータ移行なのか、移行データ整備をしなければならないのか判断し、移行データ整備をする場合はその難易度を判断する。

【レベル】
データ移行タイプは通常複数存在するため、最終的には、カラム単位でデータ移行タイプを決定することになる。
上流工程においては、特に手間がかかるデータ移行タイプが存在するかどうかを見極めることが重要である。"
E.1.1.1	セキュリティ	前提条件・制約条件	情報セキュリティに関するコンプライアンス	"ユーザが順守すべき情報セキュリティに関する組織規程やルール、法令、ガイドライン等が存在するかどうかを確認するための項目。
なお、順守すべき規程等が存在する場合は、規定されている内容と矛盾が生じないよう対策を検討する。
例）
・情報セキュリティポリシー
・不正アクセス禁止法
・個人情報保護法
・電子署名法
・プロバイダ責任法
・特定電子メール送信適正化法
・SOX法
・IT基本法
・ISO/IEC27000系
・政府機関の情報セキュリティ対策のための統一基準
・FISMA
・FISC
・PCI DSS
・プライバシーマーク
・TRUSTe
など
"		順守すべき社内規程、ルール、法令、ガイドライン等の有無	無し	有り						"【メトリクス】
規程、法令、ガイドライン等を確認し、それらに従い、セキュリティに関する非機能要求項目のレベルを決定する必要がある。
"
E.2.1.1		セキュリティリスク分析	セキュリティリスク分析	"システム開発を実施する中で、どの範囲で対象システムの脅威を洗い出し、影響の分析を実施するかの方針を確認するための項目。
なお、適切な範囲を設定するためには、資産の洗い出しやデータのライフサイクルの確認等を行う必要がある。
また、洗い出した脅威に対して、対策する範囲を検討する。
"		リスク分析範囲	分析なし	重要度が高い資産を扱う範囲、あるいは、外接部分	開発範囲					"【レベル1】
外接部分とは、インターネットへの接続部分や、外部へ情報を持ち出す際に用いる媒体等を接続する部分、また、外部システムとデータのやりとりを行う部分等を意味する。
なお、以降のレベルにおいても同様の意味で用いている。
"
E.3.1.1		セキュリティ診断	セキュリティ診断	"対象システムや、各種ドキュメント（設計書やパラメータシート、実装済みソフトウェアのソースコードなど）に対して、セキュリティに特化した各種試験や検査の実施の有無を確認するための項目。
"		"ネットワーク診断実施の有無
"	無し	有り						"【メトリクス】
ネットワーク診断は、システムに対する広義の診断をあらわしている。ネットワーク診断には、目視による設定の確認や、疑似攻撃を実施することにより脆弱性を発見する診断（ペネトレーションテスト）等がある。
"
E.3.1.2						Web診断実施の有無	無し	有り						"【メトリクス】
Web診断とは、Webサイトに対して行うWebサーバやWebアプリケーションに対するセキュリティ診断のことを言う。
"
E.5.1.1		アクセス・利用制限	認証機能	"資産を利用する主体（利用者や機器等）を識別するための認証を実施するか、また、どの程度実施するのかを確認するための項目。
複数回の認証を実施することにより、抑止効果を高めることができる。
なお、認証するための方式としては、ID/パスワードによる認証や、ICカード等を用いた認証等がある。
"		"管理権限を持つ主体の認証








"	実施しない	1回	複数回の認証	複数回、異なる方式による認証				"【メトリクス】
管理権限を持つ主体とは、システムの管理者や業務上の管理者を指す。
"
E.5.2.1			利用制限	"認証された主体（利用者や機器など）に対して、資産の利用等を、ソフトウェアやハードウェアにより制限するか確認するための項目。
例） ドアや保管庫の施錠、USBやCD-RWやキーボードなどの入出力デバイスの制限、コマンド実行制限など。
"		システム上の対策における操作制限度	無し	必要最小限のプログラムの実行、コマンドの操作、ファイルへのアクセスのみを許可						"【メトリクス】
ソフトウェアのインストール制限や、利用制限等、ソフトウェアによる対策を示す。
"
E.6.1.1		データの秘匿	データ暗号化	"機密性のあるデータを、伝送時や蓄積時に秘匿するための暗号化を実施するかを確認するための項目。
"		伝送データの暗号化の有無	無し	認証情報のみ暗号化	重要情報を暗号化					"【レベル1】
認証情報のみ暗号化とは、システムで重要情報を取り扱うか否かに関わらず、パスワード等の認証情報のみ暗号化することを意味する。
"
E.6.1.2						蓄積データの暗号化の有無	無し	"認証情報のみ暗号化
"	重要情報を暗号化					"【レベル1】
認証情報のみ暗号化とは、システムで重要情報を取り扱うか否かに関わらず、パスワード等の認証情報のみ暗号化することを意味する。
"
E.7.1.1		不正追跡・監視	不正監視	"不正行為を検知するために、それらの不正について監視する範囲や、監視の記録を保存する量や期間を確認するための項目。
なお、どのようなログを取得する必要があるかは、実現するシステムやサービスに応じて決定する必要がある。
また、ログを取得する場合には、不正監視対象と併せて、取得したログのうち、確認する範囲を定める必要がある。
"		ログの取得	実施しない	実施する						"【メトリクス】
取得対象のログは、不正な操作等を検出するための以下のようなものを意味している。
・ログイン/ログアウト履歴（成功/失敗）
・操作ログ
等
"
E.7.1.2						ログ保管期間	6ヶ月	1年	3年	5年	10年以上有期	永久保管		
E.7.1.3						不正監視対象（装置）	無し	"重要度が高い資産を扱う範囲、あるいは、外接部分
"	システム全体					"【メトリクス】
不正監視対象（装置）とは、サーバ、ストレージ等への不正アクセス等の監視のために、ログを取得する範囲を確認するメトリクス。
"
E.7.1.4						不正監視対象（ネットワーク）	無し	"重要度が高い資産を扱う範囲、あるいは、外接部分
"	システム全体					"【メトリクス】
不正監視対象（ネットワーク）とは、ネットワーク上の不正なパケット等を監視するためのログの取得範囲を確認するメトリクス。
"
E.7.1.5						不正監視対象（侵入者・不正操作等）	無し	"重要度が高い資産を扱う範囲、あるいは、外接部分
"	システム全体					"【メトリクス】
不正監視対象（侵入者・不正操作等）とは、不正な侵入者等を監視するために設置する監視カメラ等による監視の範囲を意味する。
"
E.8.1.1		ネットワーク対策	ネットワーク制御	"不正な通信を遮断するための制御を実施するかを確認するための項目。
"		通信制御	無し	有り						"【レベル1】
通信制御を実現する際には、ファイアウォール等の導入を検討する必要がある。
"
E.8.2.1			不正検知	"ネットワーク上において、不正追跡・監視を実施し、システム内の不正行為や、不正通信を検知する範囲を確認するための項目。
"		不正通信の検知範囲	無し	"重要度が高い資産を扱う範囲、あるいは、外接部分
"	システム全体					"【メトリクス】
検知範囲の設定に応じて、IDS等の導入を検討する必要がある。
"
E.8.3.1			サービス停止攻撃の回避	"ネットワークへの攻撃による輻輳についての対策を実施するかを確認するための項目。
"		ネットワークの輻輳対策	無し	有り						
E.9.1.1		マルウェア対策	マルウェア対策	"マルウェア（ウィルス、ワーム、ボット等）の感染を防止する、マルウェア対策の実施範囲やチェックタイミングを確認するための項目。
対策を実施する場合には、ウィルス定義ファイルの更新方法やタイミングについても検討し、常に最新の状態となるようにする必要がある。
"		"マルウェア対策実施範囲
"	無し	"重要度が高い資産を扱う範囲、あるいは、外接部分
"	システム全体					
E.10.1.1		Web対策	Web実装対策	"Webアプリケーション特有の脅威、脆弱性に関する対策を実施するかを確認するための項目。
"		セキュアコーディング、Webサーバの設定等による対策の強化	無し	対策の強化						"【メトリクス】
Webシステムが攻撃される事例が増加しており、Webシステムを構築する際には、セキュアコーディング、Webサーバの設定等による対策の実施を検討する必要がある。また、実施した結果の有効性を確認するための専門家のレビューやソースコード診断、ツールによるチェック等についても検討する必要がある。
"
E.10.1.2						WAFの導入の有無	無し	有り						"【メトリクス】
WAFとは、Web Application Firewallのことである。
"
F.1.1.1	システム環境・エコロジー	システム制約/前提条件	構築時の制約条件	"構築時の制約となる社内基準や法令、各地方自治体の条例などの制約が存在しているかの項目。
例）
・J-SOX法
・ISO/IEC27000系
・政府機関の情報セキュリティ対策のための統一基準
・FISC
・プライバシーマーク
・構築実装場所の制限
など
"		構築時の制約条件	制約無し	制約有り(重要な制約のみ適用)	制約有り(全ての制約を適用)					"【メトリクス】
システムを開発する際に、機密情報や個人情報等を取り扱う場合がある。これらの情報が漏洩するリスクを軽減するために、プロジェクトでは、情報利用者の制限、入退室管理の実施、取り扱い情報の暗号化等の対策が施された開発環境を整備する必要が生じる。
また運用予定地での構築が出来ず、別地にステージング環境を設けて構築作業を行った上で運用予定地に搬入しなければならない場合や、逆に運用予定地でなければ構築作業が出来ない場合なども制約条件となる。
"
F.1.2.1			運用時の制約条件	"運用時の制約となる社内基準や法令、各地方自治体の条例などの制約が存在しているかの項目。
例）
・J-SOX法
・ISO/IEC27000系
・政府機関の情報セキュリティ対策のための統一基準
・FISC
・プライバシーマーク
・リモートからの運用の可否
など
"		運用時の制約条件	制約無し	制約有り(重要な制約のみ適用)	制約有り(全ての制約を適用)					
F.2.1.1		システム特性	ユーザ数	"システムを使用する利用者(エンドユーザ)の人数。
"	○	ユーザ数	特定ユーザのみ	上限が決まっている	不特定多数のユーザが利用					"【重複項目】
B.1.1.1。ユーザ数は性能・拡張性を決めるための前提となる項目であると共にシステム環境を規定する項目でもあるため、性能・拡張性とシステム環境・エコロジーの両方に含まれている。

【レベル】
前提となる数値が決められない場合は、類似システムなどを参考に仮の値でも良いので決めておくことが必要。
"
F.2.2.1			クライアント数	"システムで使用され、管理しなければいけないクライアントの数。
"		クライアント数	特定クライアントのみ	上限が決まっている	不特定多数のクライアントが利用					
F.2.3.1			拠点数	"システムが稼働する拠点の数。
"		拠点数	単一拠点	複数拠点						"【レベル1】
拠点数を合意した場合は具体的な値を設定すること。
"
F.2.4.1			地域的広がり	"システムが稼働する地域的な広がり。
"		地域的広がり	拠点内	同一都市内	同一都道府県内	同一地方	国内	海外		"【レベル】
レベル5になると、多言語対応などの考慮も必要となる。
また、国内であっても範囲が広がるにつれて、ネットワークや物流、サポートなどの面で対応が必要となる。
"
F.2.5.1			特定製品指定	"ユーザの指定によるオープンソース製品や第三者製品(ISV/IHV)などの採用の有無を確認する項目。採用によりサポート難易度への影響があるかの視点で確認を行う。
"		特定製品の採用有無	特定製品の指定がない	一部に特定製品の指定がある	サポートが困難な製品の指定がある					
F.3.1.1		適合規格	製品安全規格	"提供するシステムに使用する製品について、UL60950などの製品安全規格を取得していることを要求されているかを確認する項目。
"		規格取得の有無	"規格取得の必要無し
"	UL60950相当取得						
F.3.2.1			環境保護	"提供するシステムに使用する製品について、RoHS指令などの特定有害物質の使用制限についての規格の取得を要求されているかを確認する項目。
"		規格取得の有無	"規格取得の必要無し
"	RoHS指令相当取得						
F.4.1.1		機材設置環境条件	耐震/免震	"地震発生時にシステム設置環境で耐える必要のある実効的な最大震度を規定。建屋が揺れを減衰するなどの工夫により、外部は震度7超でも設置環境では実効的に最大震度4程度になる場合には震度4よりレベルを設定する。なお、想定以上の揺れではサービスを継続しないでも良い場合には、その想定震度でレベルを設定する。
"		耐震震度	対策不要	震度4相当（50ガル）	震度5弱相当（100ガル）	震度6弱相当（250ガル）	震度6強相当（500ガル）	震度7相当（1000ガル）		"【メトリクス】
設置環境での実効的な震度は、屋外の振動がそのまま伝わる建屋の場合は外部の震度と設置環境の震度はほぼ一致すると考えられるので、外部震度からレベルを設定すればよい。ただし、建屋の免震設備などにより、設置環境での最大震度を低く保証できる場合にはその震度を実効的な震度としてレベル設定が可能と考えられる（ユーザからの特段の要請を受けて、より高いレベルで設定する場合も有り）。なお、一定の震度以上では周辺のシステム利用者がシステムを利用できる環境に無いなどで、サービスの継続が不要となる場合は、その震度からレベル設定することも考えられる。いずれに於いても建屋の耐震震度を超える水準での設定には無理がある。

【レベル0】
地震発生によるサービス停止などのリスクを受け入れる心積もりが別途必要となる。
"
F.4.2.1			スペース	"どの程度の床面積(WxD)/高さが必要かの項目。システム運用作業用スペースについても考慮する。また、移行時には新旧システムが並行稼働可能なスペースの確保が可能か否かについても確認が必要である。可能であれば事前確認を実施する。
"		設置スペース制限(マシンルーム)	スペースに関する制限無し	"フロア設置用機材を用いて構成
"	"ラックマウント用機材を用いて構成
"					"【メトリクス】
具体的な面積と高さも併せて確認する。また、スペース形状や場所による耐荷重の差異にも留意すること。
"
F.4.2.2						設置スペース制限(事務所設置)	スペースに関する制限無し	専用のスペースを割当て可能	人と混在するスペースに設置必要					"【メトリクス】
具体的な面積と高さも併せて確認する。また、スペース形状や場所による耐荷重の差異にも留意すること。

【レベル】
設置スペース制限は前提条件として既に規定されていると捉え、その要求に対してシステムを設置する場合の難易度をレベルとしている。スペース確保の視点での難易度ではないことに注意。
"